FirstName,LastName,X Handle,St/Dis,Party,Role,Past or current?,username
Maxine,Waters,RepMaxineWaters,CA43,D,Representative,Current,RepMaxineWaters
Keith,Self,RepKeithSelf,TX03,R,Representative,Current,RepKeithSelf
Andrew,Clyde,Rep_Clyde,GA09,R,Representative,Current,Rep_Clyde
Steny,Hoyer,RepStenyHoyer,MD05,D,Representative,Current,RepStenyHoyer
Yvette,Clarke,RepYvetteClarke,NY09,D,Representative,Current,RepYvetteClarke
Al,Green,RepAlGreen,TX09,D,Representative,Current,RepAlGreen
Juan,Ciscomani,RepCiscomani,AZ06,R,Representative,Current,RepCiscomani
Andy,Barr,RepAndyBarr,KY06,R,Representative,Current,RepAndyBarr
Bill,Johnson,RepBillJohnson,,R,Representative,Past,RepBillJohnson
John,Garamendi,RepGaramendi,CA08,D,Representative,Current,RepGaramendi
Derek,Kilmer,RepDerekKilmer,,D,Representative,Past,RepDerekKilmer
Alan,Lowenthal,RepLowenthal,,D,Representative,Past,RepLowenthal
Don,Davis,RepDonDavis,NC01,D,Representative,Current,RepDonDavis
Blaine,Luetkemeyer,RepBlaine,,R,Representative,Past,RepBlaine
Cleo,Fields,RepFields,LA06,D,Representative,Current,RepFields
Nikema,Williams,RepNikema,GA05,D,Representative,Current,RepNikema
Eric,Crawford,RepRickCrawford,,R,Representative,Past,RepRickCrawford
Suzanne,Bonamici,RepBonamici,OR01,D,Representative,Current,RepBonamici
Alma,Adams,RepAdams,NC12,D,Representative,Current,RepAdams
Tom,Malinowski,Malinowski,,D,Representative,Past,Malinowski
Debbie,Lesko,DebbieLesko,,R,Representative,Past,DebbieLesko
Burgess,Owens,RepBurgessOwens,UT04,R,Representative,Current,RepBurgessOwens
Robin,Kelly,RepRobinKelly,IL02,D,Representative,Current,RepRobinKelly
Wesley,Bell,RepWesleyBellMO,MO01,D,Representative,Current,RepWesleyBellMO
Rashida,Tlaib,RepRashida,MI12,D,Representative,Current,RepRashida
Seth,Magaziner,Rep_Magaziner,RI02,D,Representative,Current,Rep_Magaziner
Monica,De La Cruz,RepMonicaDLC,TX15,R,Representative,Current,RepMonicaDLC
Juan,Vargas,RepJuanVargas,CA52,D,Representative,Current,RepJuanVargas
Chrissy,Houlahan,RepHoulahan,PA06,D,Representative,Current,RepHoulahan
Michael,Baumgartner,RepBaumgartner,WA05,R,Representative,Current,RepBaumgartner
Richard,McCormick,RepMcCormick,GA06,R,Representative,Current,RepMcCormick
Joseph,Morelle,RepJoeMorelle,NY25,D,Representative,Current,RepJoeMorelle
Carlos,Gimenez,RepCarlos,FL28,R,Representative,Current,RepCarlos
John,Curtis,SenJohnCurtis,,R,Representative,Past,SenJohnCurtis
Stephen,Lynch,RepStephenLynch,MA08,D,Representative,Current,RepStephenLynch
Earl,Carter,RepBuddyCarter,,R,Representative,Past,RepBuddyCarter
Robert,Menendez,RepMenendez,NJ08,D,Representative,Current,RepMenendez
Jared,Huffman,RepHuffman,CA02,D,Representative,Current,RepHuffman
Pete,Sessions,PeteSessions,TX17,R,Representative,Current,PeteSessions
Ed,Case,RepEdCase,HI01,D,Representative,Current,RepEdCase
Chris,Pappas,RepChrisPappas,NH01,D,Representative,Current,RepChrisPappas
Kat,Cammack,RepKatCammack,FL03,R,Representative,Current,RepKatCammack
Suzan,DelBene,RepDelBene,WA01,D,Representative,Current,RepDelBene
Lloyd,Smucker,RepSmucker,PA11,R,Representative,Current,RepSmucker
Veronica,Escobar,RepEscobar,TX16,D,Representative,Current,RepEscobar
John,Rose,RepJohnRose,TN06,R,Representative,Current,RepJohnRose
